easting;northing;lat;long;elev;time;name
597023.511259078;6739759.93316663;60.7814359758;-139.2181979679;2075.546387;2016-05-07T17:42:49Z;201
597112.512637291;6739764.80720139;60.7814580202;-139.216561988;2064.598877;2016-05-07T17:46:06Z;202
597204.827100839;6739770.10048997;60.7814829983;-139.2148649879;2052.51123;2016-05-07T17:48:18Z;203
597293.888998432;6739774.75653184;60.781503031;-139.2132280022;2038.375244;2016-05-07T17:51:21Z;204
597384.227032998;6739778.66498261;60.781516023;-139.2115679663;2023.850464;2016-05-07T17:53:45Z;205
597473.734661376;6739784.88817066;60.7815499697;-139.2099220119;2008.259033;2016-05-07T17:56:35Z;206
597561.700853099;6739787.84908554;60.7815549988;-139.208305981;1990.80542;2016-05-07T17:58:46Z;207
595685.9524609;6740445.62619629;60.7879130077;-139.242411023;2251.545654;2016-05-07T23:22:26Z;208
595623.982872457;6740510.04920414;60.7885060273;-139.2435170151;2262.317383;2016-05-07T23:26:06Z;209
595562.904253504;6740577.94359364;60.7891299762;-139.2446049862;2274.409668;2016-05-07T23:29:55Z;210
595501.943466916;6740643.39496236;60.7897319645;-139.2456920352;2282.838867;2016-05-07T23:32:54Z;211
595440.230298209;6740708.7244554;60.7903330307;-139.2467929982;2293.082031;2016-05-07T23:35:51Z;212
595381.337530071;6740776.56804471;60.7909559738;-139.2478409875;2303.52832;2016-05-07T23:38:56Z;213
595316.642316585;6740839.36342693;60.7915349957;-139.2489980254;2315.011475;2016-05-07T23:42:51Z;214
595255.866333474;6740906.60761628;60.7921529934;-139.2500809673;2326.271484;2016-05-07T23:45:58Z;215
595192.215392863;6740971.32901391;60.7927490305;-139.2512179725;2337.475586;2016-05-07T23:48:48Z;216
595169.016805815;6741056.95830563;60.7935230155;-139.2516020313;2347.892334;2016-05-07T23:51:43Z;217
595150.295243064;6741144.3788813;60.794312004;-139.2519030254;2359.221924;2016-05-07T23:56:19Z;218
595125.228809806;6741232.85411018;60.7951119728;-139.2523200251;2362.840576;2016-05-07T23:58:54Z;219
595145.590609283;6741300.58992146;60.795714967;-139.2519129999;2375.876221;2016-05-08T00:03:08Z;220
595183.923788013;6741353.87914042;60.7961840183;-139.25118302;2390.135254;2016-05-08T00:08:37Z;221
595508.591178727;6741166.86864959;60.7944280095;-139.2453130055;2332.253662;2016-05-08T02:46:30Z;222
599746.462976867;6754752.0422048;60.9152949695;-139.1605039872;2307.579102;2016-05-08T22:14:44Z;223
599782.544618048;6754705.58490222;60.9148690011;-139.1598630231;2316.210205;2016-05-08T22:17:48Z;224
599817.304407824;6754657.96990783;60.9144329745;-139.159247037;2323.122314;2016-05-08T22:19:48Z;225
599853.609249361;6754609.62334026;60.9139899909;-139.1586029716;2330.038086;2016-05-08T22:21:55Z;226
599888.363288435;6754560.33680414;60.9135389607;-139.1579879913;2335.367188;2016-05-08T22:24:28Z;227
599924.352268825;6754511.64574639;60.9130929597;-139.1573499609;2340.612793;2016-05-08T22:26:43Z;228
599958.752618951;6754463.35870371;60.9126509819;-139.1567410156;2344.446777;2016-05-08T22:29:32Z;229
599993.869144817;6754414.8679303;60.9122069925;-139.1561189946;2348.826416;2016-05-08T22:32:21Z;230
600029.155119045;6754366.04596967;60.9117599856;-139.1554940399;2352.48584;2016-05-08T22:34:25Z;231
600064.507418792;6754317.00201364;60.9113109671;-139.1548679955;2357.455566;2016-05-08T22:36:25Z;232
600099.523967998;6754268.28519313;60.910864966;-139.1542479862;2362.567139;2016-05-08T22:38:36Z;233
600134.528824198;6754220.0167182;60.9104229882;-139.1536279768;2367.075684;2016-05-08T22:41:02Z;234
